,audio_status,audio_status_time
810,1,1456.651032086
811,1,1456.651670107
812,1,1456.652426044
813,1,1456.653120097
814,1,1456.653744031
815,1,1456.669672036
816,1,1456.67053332
817,1,1456.671230547
818,1,1456.671825935
819,1,1456.672455665
820,1,1456.673098635
821,1,1456.673722519
822,1,1456.674344225
823,1,1456.675015503
824,1,1456.675616515
825,1,1456.676185063
826,1,1456.686032267
827,1,1456.686923321
828,1,1456.687598664
829,1,1456.688250901
830,1,1456.688846609
831,1,1456.689439333
832,1,1456.690126754
833,1,1456.690851979
834,1,1456.691490264
835,1,1456.69212959
836,1,1456.69280814
837,1,1456.702861832
838,1,1456.703739147
839,1,1456.704344197
840,1,1456.704960229
841,1,1456.70559579
842,1,1456.706243725
843,1,1456.706859597
844,1,1456.707439883
845,1,1456.708096232
846,1,1456.708675746
847,1,1456.709271944
848,1,1456.719396991
849,1,1456.720229765
850,1,1456.720898406
851,1,1456.721590645
852,1,1456.722253624
853,1,1456.722874633
854,1,1456.723549833
855,1,1456.724176074
856,1,1456.724783081
857,1,1456.7253947
858,1,1456.726028455
859,1,1456.73590351
860,1,1456.736672013
861,1,1456.737297312
862,1,1456.737929317
863,1,1456.73854251
864,1,1456.739170346
865,1,1456.73977243
866,1,1456.740326822
867,1,1456.740942519
868,1,1456.741565817
869,1,1456.742181896
870,1,1456.752840352
871,1,1456.753607394
872,1,1456.754172237
873,1,1456.75475348
874,1,1456.755430163
875,1,1456.756029405
876,1,1456.756592836
877,1,1456.757168962
878,1,1456.757762339
879,1,1456.758334622
880,1,1456.75889976
881,1,1456.76933007
882,1,1456.770041777
883,1,1456.770673724
884,1,1456.771289164
885,1,1456.771884639
886,1,1456.772468506
887,1,1456.7730851
888,1,1456.773665233
889,1,1456.774279117
890,1,1456.774903062
891,1,1456.775456423
892,1,1456.785891844
893,1,1456.786639751
894,1,1456.787245423
895,1,1456.787784923
896,1,1456.788402381
897,1,1456.789002351
898,1,1456.78962747
899,1,1456.790343429
900,1,1456.791068032
901,1,1456.791754036
902,1,1456.792394246
903,1,1456.802975723
904,1,1456.803792509
905,1,1456.80441631
906,1,1456.805107634
907,1,1456.805717179
908,1,1456.806322366
909,1,1456.807008664
910,1,1456.807656476
911,1,1456.808393484
912,1,1456.809034937
913,1,1456.809683032
914,1,1456.820079899
915,1,1456.820892583
916,1,1456.821658845
917,1,1456.822305751
918,1,1456.822957837
919,1,1456.823602865
920,1,1456.824240461
921,1,1456.824870579
922,1,1456.825512107
923,1,1456.826156265
924,1,1456.826857876
925,1,1456.836798563
926,1,1456.837725379
927,1,1456.838357719
928,1,1456.839009145
929,1,1456.839639164
930,1,1456.840286381
931,1,1456.840902793
932,1,1456.841504145
933,1,1456.842165955
934,1,1456.842828965
935,1,1456.843464822
936,1,1456.853156665
937,1,1456.854046943
938,1,1456.854733242
939,1,1456.855416081
940,1,1456.856139584
941,1,1456.856819424
942,1,1456.857447907
943,1,1456.858136995
944,1,1456.858859104
945,1,1456.859492703
946,1,1456.860214914
947,1,1456.869695501
948,1,1456.87058772
949,1,1456.87124707
950,1,1456.871884269
951,1,1456.872585556
952,1,1456.873263707
953,1,1456.873892865
954,1,1456.874549115
955,1,1456.875255162
956,1,1456.875916434
957,1,1456.876557902
958,1,1456.886050744
959,1,1456.886821234
960,1,1456.887468673
961,1,1456.888117263
962,1,1456.888812322
963,1,1456.889466421
964,1,1456.890134547
965,1,1456.89079247
966,1,1456.891428
967,1,1456.892096827
968,1,1456.892716431
969,1,1456.90459448
970,1,1456.90598976
971,1,1456.906692314
972,1,1456.907372684
973,1,1456.908025626
974,1,1456.908826559
975,1,1456.909608926
976,1,1456.910334182
977,1,1456.911221915
978,1,1456.91191191
979,1,1456.912744839
980,1,1456.939426942
981,1,1456.940565902
982,1,1456.941372992
983,1,1456.942070125
984,1,1456.942979153
985,1,1456.943668905
986,1,1456.944316235
987,1,1456.945257162
988,1,1456.946099
989,1,1456.946781365
990,1,1456.948087119
991,1,1456.971832261
992,1,1456.972801869
993,1,1456.973438201
994,1,1456.97408351
995,1,1456.974685065
996,1,1456.975376664
997,1,1456.976233384
998,1,1456.977007875
999,1,1456.977968424
1000,1,1456.978624827
1001,1,1456.979361961
1002,1,1457.006583345
1003,1,1457.007580032
1004,1,1457.008415544
1005,1,1457.009067822
1006,1,1457.009791313
1007,1,1457.010670697
1008,1,1457.011388065
1009,1,1457.012069871
1010,1,1457.012692316
1011,1,1457.013415702
1012,1,1457.014184181
1013,1,1457.03718908
1014,1,1457.03804538
1015,1,1457.038722519
1016,1,1457.039535627
1017,1,1457.040314074
1018,1,1457.041030549
1019,1,1457.041816966
1020,1,1457.042524986
1021,1,1457.043244229
1022,1,1457.043972886
1023,1,1457.044656031
1024,1,1457.053367686
1025,1,1457.054254886
1026,1,1457.054881711
1027,1,1457.055525921
1028,1,1457.056202556
1029,1,1457.056858202
1030,1,1457.057503225
1031,1,1457.05816084
1032,1,1457.0588313
1033,1,1457.059502403
1034,1,1457.06014812
1035,1,1457.069972664
1036,1,1457.070848926
1037,1,1457.071522835
1038,1,1457.072195442
1039,1,1457.072847436
1040,1,1457.073476044
1041,1,1457.074109863
1042,1,1457.074789484
1043,1,1457.075503793
