,audio_status,audio_status_time,audio_status_realtime,audio_status_trialtime
6882,1,3627.147916142,08:24:25:373285,10.979037931198945
6883,1,3627.148667941,08:24:25:374036,10.979743153198797
6884,1,3627.149290791,08:24:25:374658,10.98036405719904
6885,1,3627.149931696,08:24:25:375300,10.9810060341988
6886,1,3627.150588509,08:24:25:375956,10.981659392198708
6887,1,3627.160109334,08:24:25:385484,10.991154272198855
6888,1,3627.160938255,08:24:25:386308,10.992055591199005
6889,1,3627.161706617,08:24:25:387075,10.992781636198742
6890,1,3627.162382331,08:24:25:387751,10.993463547199099
6891,1,3627.163065284,08:24:25:388434,10.994141418198978
6892,1,3627.163734269,08:24:25:389103,10.994810429198878
6893,1,3627.164378059,08:24:25:389747,10.995457901198733
6894,1,3627.165014906,08:24:25:390384,10.996090818198809
6895,1,3627.165701107,08:24:25:391071,10.996810616198673
6896,1,3627.166437026,08:24:25:391805,10.997508516199105
6897,1,3627.167061534,08:24:25:392429,10.998129587198946
6898,1,3627.176784171,08:24:25:402160,11.00782946219897
6899,1,3627.177555699,08:24:25:402925,11.00863315919878
6900,1,3627.17818158,08:24:25:403550,11.009252612198907
6901,1,3627.17880977,08:24:25:404178,11.009877301198685
6902,1,3627.179445304,08:24:25:404814,11.010512797198771
6903,1,3627.180078536,08:24:25:405447,11.011147862198868
6904,1,3627.180718167,08:24:25:406087,11.011787944199114
6905,1,3627.181351086,08:24:25:406720,11.012418678199083
6906,1,3627.181982065,08:24:25:407350,11.013047823199031
6907,1,3627.182616265,08:24:25:407984,11.013683222198779
6908,1,3627.183274937,08:24:25:408644,11.014347792198805
6909,1,3627.193446542,08:24:25:418822,11.02449150019902
6910,1,3627.194286701,08:24:25:419682,11.025403513198853
6911,1,3627.19499139,08:24:25:420361,11.026065774198742
6912,1,3627.195643911,08:24:25:421013,11.02671535619902
6913,1,3627.196290386,08:24:25:421660,11.027366307198918
6914,1,3627.196911139,08:24:25:422280,11.027982704199076
6915,1,3627.197547141,08:24:25:422916,11.028619274198718
6916,1,3627.198180977,08:24:25:423550,11.02925076019892
6917,1,3627.19882937,08:24:25:424199,11.029908318198977
6918,1,3627.199469296,08:24:25:424839,11.030546212198715
6919,1,3627.200149713,08:24:25:425520,11.031231590198786
6920,1,3627.210113991,08:24:25:435490,11.041159018198869
6921,1,3627.210898966,08:24:25:436269,11.041977236198818
6922,1,3627.21158873,08:24:25:436959,11.042669652199038
6923,1,3627.212273696,08:24:25:437644,11.043350557199119
6924,1,3627.212948767,08:24:25:438319,11.044024177198935
6925,1,3627.213590415,08:24:25:438961,11.044664211198779
6926,1,3627.214250126,08:24:25:439621,11.04536623319882
6927,1,3627.214997446,08:24:25:440368,11.046074742198925
6928,1,3627.215639632,08:24:25:441009,11.046707662198969
6929,1,3627.216269659,08:24:25:441639,11.047337191198949
