,loop_start_time,loop_end_time,loop_length
331,5177.332955773,5177.349223722,0.01626794899948436
332,5177.349230175,5177.365686043,0.016455867999866314
333,5177.365690738,5177.382830045,0.0171393070004342
334,5177.382836308,5177.399640365,0.01680405699971743
335,5177.399646173,5177.41562583,0.01597965699966153
336,5177.415647312,5177.432707623,0.01706031100002292
337,5177.432713643,5177.448907077,0.016193433999433182
338,5177.448912832,5177.465611291,0.016698458999599097
339,5177.465616444,5177.482208925,0.016592480999861436
340,5177.482213849,5177.498935043,0.016721193999728712
341,5177.498939595,5177.526130899,0.02719130400055292
342,5177.526135956,5177.549275812,0.023139855999943393
343,5177.549282319,5177.566034848,0.01675252899985935
344,5177.566041839,5177.582604219,0.016562380000323174
345,5177.582612245,5177.599173985,0.016561739999815472
346,5177.59918026,5177.615971442,0.016791181999906257
347,5177.61597787,5177.632656822,0.016678951999892888
348,5177.632663798,5177.64945873,0.01679493200026627
349,5177.649467213,5177.665838019,0.016370805999940785
350,5177.665844524,5177.682654482,0.01680995799961238
351,5177.682659761,5177.699237677,0.01657791600064229
352,5177.699244291,5177.716191701,0.016947410000284435
353,5177.716198701,5177.732753279,0.016554577999158937
354,5177.732761841,5177.748987813,0.016225972000029287
355,5177.748997542,5177.766039555,0.01704201299980923
356,5177.766048378,5177.782898557,0.016850179000357457
357,5177.782906799,5177.799638073,0.016731274000449048
358,5177.799645358,5177.816013532,0.0163681740004904
359,5177.816020129,5177.832801285,0.016781155999524344
360,5177.832807531,5177.849494355,0.016686824000316847
361,5177.849499494,5177.866320618,0.016821123999761767
362,5177.866325922,5177.883088734,0.016762811999797123
363,5177.883096531,5177.899959165,0.016862634000062826
364,5177.899964914,5177.916336199,0.016371285000786884
365,5177.916342597,5177.932981124,0.016638527000395698
366,5177.932988775,5177.949252966,0.016264191000118444
367,5177.949259444,5177.965997572,0.016738127999815333
368,5177.966004013,5177.982614484,0.01661047099969437
369,5177.982621336,5177.999402687,0.016781350999735878
370,5177.999446639,5178.015994614,0.016547975000321458
371,5178.016001794,5178.032673758,0.016671964000124717
372,5178.032678525,5178.049629002,0.016950477000136743
373,5178.049634367,5178.066151622,0.016517254999598663
374,5178.066158731,5178.083241614,0.017082883000512084
375,5178.083248941,5178.099235782,0.01598684099917591
376,5178.099242458,5178.116270301,0.017027843000505527
377,5178.116277644,5178.132824936,0.016547292000723246
378,5178.132832605,5178.149844515,0.01701191000029212
379,5178.149852754,5178.166125122,0.016272368000500137
380,5178.166131112,5178.182723572,0.016592460000538267
381,5178.182730889,5178.199341097,0.016610208000201965
382,5178.199346096,5178.215868955,0.016522858999451273
