,audio_status,audio_status_time,audio_status_realtime
3058,1,10627.705581996,2022-06-13 23:04:17.004359
3059,1,10627.715145443,2022-06-13 23:04:17.013922
3060,1,10627.715985646,2022-06-13 23:04:17.014764
3061,1,10627.716632141,2022-06-13 23:04:17.015408
3062,1,10627.717253513,2022-06-13 23:04:17.016031
3063,1,10627.717908978,2022-06-13 23:04:17.016687
3064,1,10627.718555816,2022-06-13 23:04:17.017334
3065,1,10627.719189533,2022-06-13 23:04:17.017968
3066,1,10627.719805727,2022-06-13 23:04:17.018583
3067,1,10627.720416136,2022-06-13 23:04:17.019193
3068,1,10627.721050158,2022-06-13 23:04:17.019826
3069,1,10627.721734976,2022-06-13 23:04:17.020513
3070,1,10627.731755373,2022-06-13 23:04:17.030535
3071,1,10627.732560238,2022-06-13 23:04:17.031338
3072,1,10627.733210294,2022-06-13 23:04:17.031987
3073,1,10627.733866322,2022-06-13 23:04:17.032642
3074,1,10627.734475446,2022-06-13 23:04:17.033252
3075,1,10627.735147964,2022-06-13 23:04:17.033925
3076,1,10627.735812059,2022-06-13 23:04:17.034590
3077,1,10627.736466324,2022-06-13 23:04:17.035243
3078,1,10627.737125758,2022-06-13 23:04:17.035903
3079,1,10627.737778402,2022-06-13 23:04:17.036567
3080,1,10627.738489738,2022-06-13 23:04:17.037268
3081,1,10627.748627533,2022-06-13 23:04:17.047406
3082,1,10627.749504753,2022-06-13 23:04:17.048284
3083,1,10627.750240092,2022-06-13 23:04:17.049020
3084,1,10627.750897812,2022-06-13 23:04:17.049678
3085,1,10627.751570133,2022-06-13 23:04:17.050350
3086,1,10627.7522462,2022-06-13 23:04:17.051025
3087,1,10627.752915542,2022-06-13 23:04:17.051694
3088,1,10627.753578774,2022-06-13 23:04:17.052356
3089,1,10627.754320054,2022-06-13 23:04:17.053101
3090,1,10627.755023634,2022-06-13 23:04:17.053803
3091,1,10627.755703252,2022-06-13 23:04:17.054483
3092,1,10627.765300419,2022-06-13 23:04:17.064080
3093,1,10627.766222697,2022-06-13 23:04:17.065003
3094,1,10627.766900249,2022-06-13 23:04:17.065678
3095,1,10627.767575172,2022-06-13 23:04:17.066354
3096,1,10627.76822068,2022-06-13 23:04:17.066999
3097,1,10627.768862718,2022-06-13 23:04:17.067641
3098,1,10627.769546297,2022-06-13 23:04:17.068325
3099,1,10627.770266162,2022-06-13 23:04:17.069046
3100,1,10627.770918461,2022-06-13 23:04:17.069697
3101,1,10627.771564441,2022-06-13 23:04:17.070344
3102,1,10627.772239006,2022-06-13 23:04:17.071017
3103,1,10627.781887519,2022-06-13 23:04:17.080666
3104,1,10627.78268892,2022-06-13 23:04:17.081469
3105,1,10627.78332578,2022-06-13 23:04:17.082106
3106,1,10627.783963477,2022-06-13 23:04:17.082743
3107,1,10627.784677298,2022-06-13 23:04:17.083457
3108,1,10627.785308958,2022-06-13 23:04:17.084088
3109,1,10627.786122169,2022-06-13 23:04:17.084901
3110,1,10627.786785087,2022-06-13 23:04:17.085564
3111,1,10627.787463366,2022-06-13 23:04:17.086244
3112,1,10627.788127559,2022-06-13 23:04:17.086909
3113,1,10627.788778933,2022-06-13 23:04:17.087557
3114,1,10627.798261924,2022-06-13 23:04:17.097041
3115,1,10627.799149641,2022-06-13 23:04:17.097929
3116,1,10627.799781202,2022-06-13 23:04:17.098560
3117,1,10627.800423397,2022-06-13 23:04:17.099202
3118,1,10627.801039197,2022-06-13 23:04:17.099817
3119,1,10627.801713021,2022-06-13 23:04:17.100493
3120,1,10627.802346917,2022-06-13 23:04:17.101126
3121,1,10627.803014339,2022-06-13 23:04:17.101794
3122,1,10627.8036832,2022-06-13 23:04:17.102463
3123,1,10627.80436756,2022-06-13 23:04:17.103148
3124,1,10627.805108036,2022-06-13 23:04:17.103889
3125,1,10627.815688702,2022-06-13 23:04:17.114469
3126,1,10627.816483646,2022-06-13 23:04:17.115265
3127,1,10627.817258474,2022-06-13 23:04:17.116039
3128,1,10627.817879603,2022-06-13 23:04:17.116659
